source	target	freq
الحكيم	al-Ḥakīm	424
يونس	Yūnus	423
الرواية	al-riwāyah	421
الوحدة	al-Waḥdah	420
العمل	al-ʻamal	420
خلال	khilāl	419
محفوظ	Maḥfūẓ	418
السلسلة	al-Silsilah	417
المغربي	al-Maghribī	416
هلال	Hilāl	415
مؤتمر	Muʼtamar	415
الأول	al-Awwal	413
التربية	al-Tarbiyah	412
كاظم	Kāẓim	412
دبي	Dubayy	411
إتحاد	Ittiḥād	411
ترجمة	tarjamat	410
طارق	Ṭāriq	410
الواحد	al-Wāḥid	409
تيمية	Taymīyah	408
ياسر	Yāsir	407
داود	Dāwūd	407
حيدر	Ḥaydar	405
المكتب	al-Maktab	405
مدبولي	Madbūlī	402
حمود	Ḥammūd	400
دولة	Dawlat	400
الإنسان	al-insān	399
الطباعة	al-Ṭibāʻah	399
والمعلومات	wa-al-Maʻlūmāt	397
تقي	Taqī	397
الجليل	al-Jalīl	397
والفنون	wa-al-Funūn	396
ماجد	Mājid	396
نايف	Nāyif	395
الريس	al-Rayyis	395
الحلبي	al-Ḥalabī	394
جديدة	jadīdah	393
الدولية	al-Dawlīyah	393
كريم	Karīm	392
مختار	Mukhtār	392
المهدي	al-Mahdī	391
حمدان	Ḥamdān	391
عزيز	ʻAzīz	390
حميد	Ḥamīd	390
التونسية	al-Tūnisīyah	389
الأستاذ	al-Ustādh	389
البحرين	al-Baḥrayn	387
جورج	Jūrj	386
الشعرية	al-shiʻrīyah	386
عيد	ʻĪd	386
مكتب	Maktab	385
الدول	al-Duwal	384
زهير	Zuhayr	382
فاضل	Fāḍil	382
المطبوعات	al-Maṭbūʻāt	381
الناصر	al-Nāṣir	381
الحديثة	al-ḥadīthah	380
الثورة	al-thawrah	380
خير	Khayr	377
النقد	al-naqd	376
صبري	Ṣabrī	376
عمادة	ʻImādat	375
غانم	Ghānim	374
ربيع	Rabīʻ	374
لا	lā	373
البيضاء	al-Bayḍāʼ	373
هاني	Hānī	370
مجمع	Majmaʻ	369
الشعبية	al-shaʻbīyah	369
السودانية	al-Sūdānīyah	368
الواقع	al-wāqiʻ	367
غازي	Ghāzī	367
المحسن	al-Muḥsin	366
للكتب	lil-Kutub	366
جهاد	Jihād	363
فتح	Fatḥ	363
الخطيب	al-Khaṭīb	363
مجدي	Majdī	361
شيخ	Shaykh	360
الجمعية	al-Jamʻīyah	360
النص	al-naṣṣ	359
بعد	baʻda	357
اليمنية	al-Yamanīyah	355
البشير	al-Bashīr	354
لسنة	li-sanat	354
شعبان	Shaʻbān	353
الاجتماعية	al-ijtimāʻīyah	353
شكري	Shukrī	352
اللبناني	al-Lubnānī	350
أو	aw	348
الثانية	al-thāniyah	348
التنمية	al-tanmiyah	348
الشافعي	al-Shāfiʻī	346
درويش	Darwīsh	346
الطاهر	al-Ṭāhir	346
باقر	Bāqir	345
مجلة	Majallat	344
أعمال	aʻmāl	344
المعروف	al-maʻrūf	343
عهد	ʻahd	343
مقالات	maqālāt	343
عين	ʻAyn	343
توزيع	Tawzīʻ	342
أ	U	341
الجامعي	al-Jāmiʻī	340
not	not	339
شرف	Sharaf	338
رضوان	Raḍwān	338
لقصور	li-Quṣūr	337
بدوي	Badawī	337
حرب	Ḥarb	337
العليا	al-ʻUlyā	336
حنا	Ḥannā	336
أهل	ahl	335
الكبرى	al-Kubrá	335
السياسة	al-siyāsah	335
شهاب	Shihāb	335
لطفي	Luṭfī	334
القلم	al-Qalam	334
the	the	333
كنوز	Kunūz	333
دليل	Dalīl	333
الجديد	al-jadīd	332
عطا	ʻAṭā	332
رؤية	ruʼyah	332
فهمي	Fahmī	331
المدينة	al-Madīnah	328
الجزائري	al-Jazāʼirī	328
والتراث	wa-al-Turāth	328
العلم	al-ʻIlm	328
العالمي	al-ʻĀlamī	328
المدني	al-madanī	326
الإعلام	al-Iʻlām	326
مسرحية	masraḥīyah	326
identified	identified	326
نزار	Nizār	326
الخطاب	al-khiṭāb	325
أنور	Anwar	324
حلمي	Ḥilmī	323
للصحافة	lil-Ṣiḥāfah	323
نهاية	nihāyat	323
بجامعة	bi-Jāmiʻat	323
خضر	Khiḍr	322
ودراسة	wa-dirāsat	322
الإسكندرية	al-Iskandarīyah	321
الصادق	al-Ṣādiq	320
حجازي	Ḥijāzī	319
منذ	mundhu	319
الهجري	al-Hijrī	319
المشاركون	al-mushārikūn	318
ظبي	Ẓaby	318
الشعبي	al-shaʻbī	316
السعيد	al-Saʻīd	316
الجزيرة	al-Jazīrah	316
رئيس	raʼīs	316
تطبيقية	taṭbīqīyah	316
صنعاء	Ṣanʻāʼ	315
القديم	al-qadīm	314
المحروسة	al-Maḥrūsah	314
عاطف	ʻĀṭif	313
publisher	publisher	312
الرسالة	al-Risālah	312
الرسائل	al-rasāʼil	311
عزت	ʻIzzat	310
حسام	Ḥusām	308
امين	Amīn	308
دور	Dawr	308
الحقوق	al-Ḥuqūq	306
الهدى	al-Hudá	306
محيي	Muḥyī	306
غسان	Ghassān	306
هيئة	Hayʼat	304
الفكرية	al-fikrīyah	304
الفقهية	al-fiqhīyah	303
حاتم	Ḥātim	302
أدبية	adabīyah	302
ودراسات	wa-dirāsāt	301
الندوة	al-nadwah	300
أكاديمية	Akādīmīyat	300
أصول	uṣūl	300
أسعد	Asʻad	299
باشا	Bāshā	299
العراقية	al-ʻIrāqīyah	299
حسني	Ḥusnī	299
اللجنة	al-Lajnah	299
شاهين	Shāhīn	299
حزم	Ḥazm	298
حداد	Ḥaddād	297
والطباعة	wa-al-Ṭibāʻah	297
الرسول	al-Rasūl	296
صبحي	Ṣubḥī	295
الثاني	al-Thānī	295
العلامة	al-ʻallāmah	294
الشرعية	al-sharʻīyah	294
رابطة	Rābiṭat	294
عصر	ʻaṣr	292
خلدون	Khaldūn	291
الحياة	al-ḥayāh	291
شفيق	Shafīq	291
رفعت	Rifʻat	290
والقانون	wa-al-qānūn	290
مشروع	Mashrūʻ	289
الاقتصادية	al-iqtiṣādīyah	289
البيت	al-Bayt	289
زياد	Ziyād	288
كتب	kutub	288
الجوزي	al-Jawzī	287
ميريت	Mīrīt	287
العظيم	al-ʻAẓīm	287
الستار	al-Sattār	286
وإعداد	wa-iʻdād	286
بالمغرب	bi-al-Maghrib	286
نجم	Najm	285
الحسني	al-Ḥasanī	284
الأمير	al-Amīr	284
قطر	Qaṭar	283
زيدان	Zaydān	283
ليلى	Laylá	283
حكومة	Ḥukūmat	283
مدينة	Madīnat	283
المدى	al-Madá	283
مكة	Makkah	283
وتحرير	wa-taḥrīr	282
الثالثة	al-thālithah	282
نعمان	Nuʻmān	281
معاصرة	muʻāṣirah	281
النبوية	al-Nabawīyah	281
عارف	ʻĀrif	280
آية	Āyat	280
المستقبل	al-mustaqbal	279
قبل	qabla	279
البيان	al-Bayān	279
رزق	Rizq	278
إبداعات	Ibdāʻāt	278
تصنيف	taṣnīf	278
مسلم	Muslim	277
جامعية	jāmiʻīyah	277
الشركة	al-Sharikah	277
;	;	276
لمحمد	li-Muḥammad	276
عزة	ʻAzzah	276
الجبار	al-Jabbār	275
غريب	Gharīb	275
العلاقات	al-ʻAlāqāt	275
المختار	al-Mukhtār	275
الأندلس	al-Andalus	274
الساقي	al-Sāqī	273
ماهر	Māhir	273
القاضي	al-Qāḍī	271
نموذجا	namūdhajan	271
السنة	al-Sunnah	270
النبي	al-Nabī	270
العشرين	al-ʻishrīn	268
أحكام	Aḥkām	267
أوراق	Awrāq	267
عودة	ʻAwdah	267
بمصر	bi-Miṣr	267
ثابت	Thābit	266
ممدوح	Mamdūḥ	266
عبود	ʻAbbūd	264
الجمل	al-Jamal	263
أبحاث	Abḥāth	262
صابر	Ṣābir	262
الحرب	al-ḥarb	261
التجارية	al-Tijārīyah	261
العثمانية	al-ʻUthmānīyah	261
البشائر	al-Bashāʼir	260
البغدادي	al-Baghdādī	259
والسياسة	wa-al-siyāsah	259
منظمة	Munaẓẓamat	258
الشام	al-Shām	258
أعلام	Aʻlām	258
عبر	ʻabra	257
للتنمية	lil-Tanmiyah	257
عواد	ʻAwwād	257
العثماني	al-ʻUthmānī	256
عليها	ʻalayhā	256
بكلية	bi-Kullīyat	256
نحو	Naḥwa	256
مزيدة	mazīdah	256
الفضل	al-Faḍl	255
الخالق	al-Khāliq	254
الاجتماعي	al-ijtimāʻī	254
بني	Banī	254
الادب	al-adab	254
النيل	al-Nīl	253
النادي	al-Nādī	253
الخاصة	al-khāṣṣah	253
فقهية	fiqhīyah	253
الشرقية	al-Sharqīyah	253
القصة	al-qiṣṣah	253
سهيل	Suhayl	252
وما	wa-mā	252
العباس	al-ʻAbbās	252
زينب	Zaynab	251
القومية	al-Qawmīyah	251
أثر	Athar	251
بالقاهرة	bi-al-Qāhirah	250
شعرية	shiʻrīyah	250
للتربية	lil-Tarbiyah	249
المؤلف	al-muʼallif	249
ميدانية	maydānīyah	249
الديني	al-dīnī	248
غير	ghayr	248
الأمانة	al-Amānah	248
المدنية	al-madanīyah	248
القضاء	al-qaḍāʼ	248
الأهرام	al-Ahrām	247
النظام	al-niẓām	247
سعاد	Suʻād	247
أخرى	ukhrá	247
الاعلام	al-Iʻlām	246
حماد	Ḥammād	246
سحر	Saḥar	246
أشرف	Ashraf	246
الشيعة	al-Shīʻah	246
الفلسفة	al-falsafah	246
الحركة	al-Ḥarakah	245
الديمقراطية	al-Dīmuqrāṭīyah	245
التعاون	al-Taʻāwun	245
خميس	Khamīs	245
and	and	244
نشر	Nashr	244
الأدبية	al-adabīyah	244
الدولي	al-dawlī	244
السعودي	al-Saʻūdī	243
الجيزة	al-Jīzah	243
يطلب	Yuṭlabu	242
الفتح	al-Fatḥ	242
اليمني	al-Yamanī	241
مديرية	Mudīrīyat	241
طلال	Ṭalāl	241
العباسي	al-ʻAbbāsī	240
الحبيب	al-Ḥabīb	240
خطيب	Khaṭīb	240
الأوسط	al-Awsaṭ	240
جامع	Jāmiʻ	240
أمير	Amīr	239
العين	al-ʻAyn	239
ومنقحة	wa-munaqqaḥah	239
نهضة	Nahḍat	239
زايد	Zāyid	238
النظرية	al-naẓarīyah	238
والوثائق	wa-al-Wathāʼiq	238
المسرح	al-masraḥ	237
الحق	al-Ḥaqq	237
الأوقاف	al-Awqāf	237
نصار	Naṣṣār	237
بركات	Barakāt	237
إمام	Imām	236
أفريقيا	Afrīqiyā	236
بسام	Bassām	236
الثالث	al-thālith	236
الفارابي	al-Fārābī	235
فايز	Fāyiz	235
الرازق	al-Rāziq	235
أيمن	Ayman	234
تفسير	tafsīr	234
الذي	alladhī	233
الفترة	al-fatrah	233
الصالح	al-Ṣāliḥ	233
الأسرة	al-usrah	233
ظل	ẓill	233
والشؤون	wa-al-Shuʼūn	233
مرتضى	Murtaḍá	232
دكتور	Duktūr	232
فقه	fiqh	232
الكبير	al-kabīr	232
سورية	Sūrīyah	232
حسنين	Ḥasanayn	232
جبر	Jabr	232
العبيكان	al-ʻUbaykān	231
الانسانية	al-Insānīyah	231
للموسوعات	lil-Mawsūʻāt	231
بدمشق	bi-Dimashq	231
الجيل	al-Jīl	231
عقيل	ʻAqīl	230
التأليف	al-Taʼlīf	230
مطر	Maṭar	230
حسيني	Ḥusaynī	230
الأمة	al-ummah	229
لحقوق	li-Ḥuqūq	229
4	4	228
عائشة	ʻĀʼishah	228
بلاد	bilād	228
نعيم	Naʻīm	228
النفائس	al-Nafāʼis	228
ضياء	Ḍiyāʼ	227
ثورة	Thawrat	227
بعض	baʻḍ	226
النجاح	al-Najāḥ	226
الحوار	al-Ḥiwār	226
مكي	Makkī	226
التونسي	al-Tūnisī	226
حياته	ḥayātuhu	226
الأحكام	al-aḥkām	225
للتراث	lil-Turāth	225
إحياء	Iḥyāʼ	225
سيرة	sīrat	224
الزهراء	al-Zahrāʼ	224
الأمريكية	al-Amrīkīyah	224
أديب	Adīb	224
قطب	Quṭb	224
المالكي	al-Mālikī	223
إصدارات	Iṣdārāt	223
القانوني	al-qānūnī	223
الأصول	al-uṣūl	223
تحت	taḥta	223
القرى	al-Qurá	223
نوري	Nūrī	223
عني	ʻuniya	222
قراءات	qirāʼāt	222
منى	Muná	221
صفحات	Ṣafaḥāt	221
رسالة	Risālat	220
محكمة	Maḥkamat	220
صديق	Ṣiddīq	220
الاقتصادي	al-iqtiṣādī	219
به	bi-hi	219
لدنيا	li-Dunyā	218
بالمدينة	bi-al-Madīnah	218
لدول	li-Duwal	218
بالرباط	bi-al-Rabāṭ	217
بيسان	Bīsān	217
والتنمية	wa-al-tanmiyah	217
الإدارة	al-Idārah	217
الأندلسي	al-Andalusī	217
الشخصية	al-shakhṣīyah	217
نقد	Naqd	216
المرعشي	al-Marʻashī	216
القديمة	al-qadīmah	215
بهاء	Bahāʼ	215
بابن	bi-Ibn	215
in	in	214
علمية	ʻilmīyah	214
يناير	Yanāyir	213
جائزة	Jāʼizat	213
وقائع	waqāʼiʻ	213
هدى	Hudá	213
أمل	Amal	213
الدينية	al-dīnīyah	213
المالية	al-mālīyah	212
المنهاج	al-Minhāj	212
الحافظ	al-Ḥāfiẓ	212
الباقي	al-Bāqī	212
تركي	Turkī	211
جزيرة	Jazīrat	211
الصغير	al-Ṣaghīr	210
التميمي	al-Tamīmī	210
الموسوي	al-Mūsawī	210
عربي	ʻArabī	210
النفس	al-nafs	210
الفرقان	al-Furqān	210
صادر	Ṣādir	209
المشرق	al-Mashriq	209
فكر	fikr	208
أيوب	Ayyūb	208
دارة	Dārat	208
البابي	al-Bābī	207
العظمى	al-ʻUẓmá	207
المتوفى	al-mutawaffá	207
النجفي	al-Najafī	207
الهاشمي	al-Hāshimī	207
عمارة	ʻImārah	207
الأنصاري	al-Anṣārī	207
الصحفية	al-Ṣuḥufīyah	206
الحكم	al-ḥukm	206
س	S	206
النجار	al-Najjār	206
علماء	ʻulamāʼ	206
الصحافة	al-Ṣiḥāfah	205
سعدي	Saʻdī	204
مذكرات	Mudhakkirāt	204
رفيق	Rafīq	204
حياة	ḥayāt	204
ليبيا	Lībiyā	204
وخرج	wa-kharraja	204
جاد	Jād	204
والاجتماعية	wa-al-Ijtimāʻīyah	203
الياس	Ilyās	203
إسرائيل	Isrāʼīl	203
السياسات	al-Siyāsāt	203
ا	A	202
الإدارية	al-Idārīyah	202
العولمة	al-ʻawlamah	202
الدعوة	al-Daʻwah	202
وائل	Wāʼil	202
ولد	Wuld	202
راجعه	rājaʻahu	201
ادريس	Idrīs	201
أدب	adab	201
التاسع	al-tāsiʻ	201
نظام	Niẓām	201
وهو	wa-huwa	201
حاج	Ḥājj	201
العلماء	al-ʻulamāʼ	200
حسان	Ḥassān	200
مجيد	Majīd	200
حجر	Ḥajar	200
إسلامية	Islāmīyah	199
علوي	ʻAlawī	199
الرفاعي	al-Rifāʻī	198
آدم	Ādam	198
التحرير	al-Taḥrīr	198
مصري	Miṣrī	197
لابن	li-Ibn	197
كرم	Karam	197
الأهلية	al-Ahlīyah	197
الإجتماعية	al-ijtimāʻīyah	197
العصرية	al-ʻAṣrīyah	196
ب	b	196
العلوي	al-ʻAlawī	196
أزمنة	Azminah	196
علوم	ʻulūm	196
الحنبلي	al-Ḥanbalī	195
حمادة	Ḥamādah	195
المنار	al-Manār	195
أنيس	Anīs	194
المصريين	al-Miṣrīyīn	194
الشعري	al-shiʻrī	194
