subtag	link-error	tag	link	source	id	splits	tag_description	comb.tag	comb.tag.freq	rom	ar	manual_check
c	0	245	4	aco	aco-8623	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	[taʼlīf] Tawfīq al-Ḥakīm.	توفيق الحكيم.	good
c	0	245	4	loc	loc-47741	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Ṣabrī al-ʻAskarī.	صبري العسكري.	good
c	0	245	4	loc	loc-66701	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	ʻUmar Jamāl.	عمر جمال.	good
c	0	245	4	loc	loc-65121	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	ʻAbd al-Raḥmān ibn Muḥammad al-Sadḥān.	‏عبد الرحمن بن محمد السدحان.	good
c	0	245	4	loc	loc-55931	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Kamāl al-ʻAzzah.	‏كمال العزة.	good
c	0	245	4	loc	loc-15871	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Muḥammad al-Jawādī.	محمد الجوادي.	good
c	0	245	4	loc	loc-64981	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Dalshād Maḥmūd Ṣāliḥ Bābla.	‏دلشاد محمود صالح بابلا.	good
c	0	245	4	loc	loc-12071	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	taʼlīf Tāj al-Sirr ʻUthmān al-Ḥājj.	‏تأليف تاج السر عثمان الحاج.	good
c	0	245	4	loc	loc-6931	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Saḥar al-ʻAbandī.	‏سحر العبندي.	good
c	0	245	4	loc	loc-5311	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Ḥijāb ibn Yaḥyá al-Ḥāzimī.	‏حجاب بن يحيى الحازمي.	good
c	0	245	4	loc	loc-14941	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	taʼlīf Muḥammad ibn ʻAlī ibn al-Ḥusayn al-Akwaʻ al-Ḥawālī.	تأليف محمد بن الح	good
c	0	245	4	loc	loc-7631	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Muḥammad Farīd Ḥijāb.	محمد  فريد حجاب.	good
c	0	245	4	loc	loc-41651	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	taʼlīf Lamyāʼ Aḥmad ʻAbd Allāh Shāfiʻī.	‏تأليف لمياء أحمد عبد الله شافعي.	good
c	0	245	4	loc	loc-15821	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	taʼlīf ʻArafah Ḥilmī ʻAbbās.	‏تأليف عرفة حلمي عباس.	good
c	0	245	4	loc	loc-79041	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Nabīh Ibrāhīm Ismāʻīl.	نبيه إبراهيم إسماعيل.	good
c	0	245	4	loc	loc-78291	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	taʼlīf ʻĀmir Qāsim Aḥmad al-Qaysī.	تأليف عامر قاسم أحمد القيسي.	good
c	0	245	4	loc	loc-46381	dev	TITLE STATEMENT (NR) - Statement of responsibility, etc. (NR)	245c	10056	Rafīq al-ʻAjam.	رفيق العجم.	good
												1
a	0	100	0	loc	loc-54121	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	ʻAbd al-Qādir, Fārūq.	عبد القادر، فاروق.	good
a	0	100	0	loc	loc-19911	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Ṭawīlī, Aḥmad.	‏طويلي، أحمد.	good
a	0	100	0	loc	loc-62791	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Bāfaḍl al-Ḥaḍramī, ʻAbd Allāh ibn ʻAbd al-Raḥmān,	بافضل الحضرمي ، عبد الله بن عبد الرحمن.	good
a	0	100	0	loc	loc-53141	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Taftāzānī, Masʻūd ibn ʻUmar,	تفتازاني، مسعود بن عمر.	good
a	0	100	0	loc	loc-64851	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Burshīd, ʻAbd al-Karīm.	‏برشيد، عبد الكريم.	good
a	0	100	0	umich	umich-3191	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Sarḥān, Makkī Muḥammad.	سرحان، مكي محمد.	good
a	0	100	0	umich	umich-2121	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Daftardār, Hāshim Muḥammad Saʻīd.	هاشم محمد سعيد دفتردار.	good
a	0	100	0	loc	loc-3061	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Adīb, Munīr.	‏أديب، منير.	good
a	0	100	0	loc	loc-24781	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Ḥumayrī, Nashwān.	حميري، نشوان.	good
a	0	100	0	loc	loc-3971	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Maḥmūd, Nuhá.	‏محمود، نهى.	good
a	0	100	0	loc	loc-55011	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Abū Ḥamdān, Jamāl.	‏أبو حمدان، جمال.	good
a	0	100	0	loc	loc-15631	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	ʻAbbū, Mizgīn Muḥammad Ḥasan.	عبو، مزگين محمد حسن.	good
a	0	100	0	loc	loc-48111	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	ʻAṭawī, Fatḥīyah Muṣṭafá.	عطوي، فتحية مصطفى.	good
a	0	100	0	loc	loc-85381	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Awdan, Muḥammad al-Saʻīd.	أودن، محمد السعيد.	good
a	0	100	0	loc	loc-37631	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Bāshā, Aḥmad Fuʼād.	‏باشا، أحمد فؤاد.	good
a	0	100	0	loc	loc-83591	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Aḥẓānā, Muḥammad Muḥammad.	أحظانا، محمد محمد.	good
a	0	100	0	aco	aco-10033	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Khurāsānī, Muḥammad Kāẓim,	خراساني، محمد كاظم،‎‎	good
a	0	100	0	loc	loc-70491	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Zurayq, Burhān Khalīl.	زريق، برهان خليل.	good
a	0	100	0	loc	loc-45121	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Būsāq, Muḥammad ibn al-Madanī.	بوساق، محمد بن المدني.	good
a	0	100	0	loc	loc-84141	dev	MAIN ENTRY--PERSONAL NAME (NR) - Personal name (NR)	100a	9411	Bāz, Muḥammad.	باز، محمد.	good
												2
b	0	260	6	loc	loc-80301	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Wizārat al-Turāth al-Qawmī wa-al-Thaqāfah,	وزارة التراث القومي والثقافة،	good
b	0	260	6	loc	loc-56661	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Maktabat al-Malik Fahd al-Waṭanīyah,	مكتبة الملك فهد الوطنية،	good
b	0	260	6	loc	loc-36201	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Lajnat Tārīkh Bilād al-Shām,	‏لجنة تاريخ بلاد الشام،‏	good
b	0	260	6	loc	loc-61761	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Wizārat al-Turāth wa-al-Thaqāfah,	وزارة التراث والثقافة،	good
b	0	260	6	loc	loc-11581	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Dār Aṭlas al-Khaḍrāʼ,	دار أطلس الخضراء،	good
b	0	260	6	aco	aco-6813	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	al-Maṭbaʻah al-Sharafiyah,	المطبعة الشرفية،	good
b	0	260	6	loc	loc-59241	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Dār al-Mufradāt lil-Nashr wa-al-Tawzīʻ,	دار المفردات للنشر والتوزيع،	good
b	0	260	6	loc	loc-79281	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	I.ʻA.A. Muḥammad,	ا.ع.ا. محمد،	good
b	0	260	6	loc	loc-56121	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Markaz al-Imārāt lil-Dirāsāt wa-al-Buḥūth al-Istirātījīyah,	‏مركز الإمارات للدراسات والبحوث الاستراتيجية،‏	good
b	0	260	6	loc	loc-81851	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	al-Ahlīyah,	الأهلية،	good
b	0	260	6	loc	loc-31351	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Maʻhad al-Makhṭūṭāt al-ʻArabīyah,	معهد المخطوطات العربية،	good
b	0	260	6	loc	loc-24071	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Manshūrāt Markaz al-Mashriq lil-Dirāsāt wa-Muʼassasat Zahrat al-Madāʼin,	‏منشورات مركز المشرق للدراسات ومؤسسة زهرة المدائن،‏	good
b	0	260	6	loc	loc-7521	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Muʼassasat al-Ḥaqq,	مؤسسة الحق،	good
b	0	260	6	loc	loc-35601	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Wakālat al-Maṭbūʻāt ;	‏وكالة المطبوعات ؛‏	good
b	0	260	6	loc	loc-53371	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Markaz Dirāsāt al-Waḥdah al-ʻArabīyah,	مركز دراسات الوحدة العربية،	good
b	0	260	6	loc	loc-31931	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Dār al-Ḥadāthah,	دار الحداثة،	good
b	0	260	6	loc	loc-13551	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Dār Yaʻrab lil-Dirāsāt wa-al-Nashr,	‏دار يعرب للدراسات والنشر،‏	good
b	0	260	6	aco	aco-8523	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Maṭbaʻat al-Saʻādah,	مطبعة السعادة،	good
b	0	260	6	loc	loc-50761	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Markaz Dirāsāt al-Waḥdah al-ʻArabīyah,	مركز دراسات الوحدة العربية،	good
b	0	260	6	umich	umich-1031	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Name of publisher, distributor, etc. (R)	260b	8693	Dār Ṭilās,	لدار طلاس،	good
												3
a	0	260	6	loc	loc-45581	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	Tūnis :	تونس :	good
a	0	260	6	loc	loc-72881	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	Qum :	قم :	good
a	0	260	6	loc	loc-29851	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Qāhirah :	القاهرة :	good
a	0	260	6	loc	loc-14661	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	[Beirut] :	[Beirut] :	duplicate
a	0	260	6	loc	loc-61391	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	ʻAmmān :	عمان :	good
a	0	260	6	loc	loc-15761	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	[Saudi Arabia :	‏[المملكة العربية السعودية :‏	translation
a	0	260	6	loc	loc-78201	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Riyāḍ :	‏الرياض :‏	good
a	0	260	6	loc	loc-89771	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Sayb, Salṭanat ʻUmān :	السيب، سلطنة عمان :	good
a	0	260	6	loc	loc-29821	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Kuwayt :	الكويت :	good
a	0	260	6	loc	loc-15021	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	[Umm Durmān] :	[أم درمان] :	good
a	0	260	6	loc	loc-69281	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Ṣafāt, al-Kuwayt :	الصفاة، الكويت :	good
a	0	260	6	loc	loc-9941	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Lādhiqīyah :	اللاذقية :	good
a	0	260	6	loc	loc-44911	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Khubar :	الخبر :	good
a	0	260	6	loc	loc-37051	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Jazāʼir :	‏الجزائر :‏	good
a	0	260	6	loc	loc-69181	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Riyāḍ :	الرياض :	good
a	0	260	6	loc	loc-11561	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Riyāḍ :	الرياض :	good
a	0	260	6	loc	loc-22061	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Qāhirah :	‏القاهرة :‏	good
a	0	260	6	loc	loc-48051	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	[al-Dammām] :	[الدمام] :	good
a	0	260	6	loc	loc-46921	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	al-Kuwayt :	الكويت :	good
a	0	260	6	loc	loc-88871	dev	PUBLICATION, DISTRIBUTION, ETC. (IMPRINT) (R) - Place of publication, distribution, etc. (R)	260a	8634	[Egypt :	[Egypt :	translation
												4
a	0	250	5	loc	loc-29941	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-11701	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	‏الطبعة 1.	good
a	0	250	5	loc	loc-60321	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-88471	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-16861	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	‏الطبعة 1.	good
a	0	250	5	loc	loc-931	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	‏الطبعه 1.	good
a	0	250	5	loc	loc-46181	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	umich	umich-1161	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-88241	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-65041	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah al-thāniyah.	الطبعة الثانية.	good
a	0	250	5	loc	loc-23821	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-67601	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah al-ūlá.	الطبعة الأولى.	good
a	0	250	5	loc	loc-63101	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	‏الطبعة 1.	good
a	0	250	5	loc	loc-88261	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-10521	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	‏الطبعة 1.	good
a	0	250	5	loc	loc-62131	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 2., mazīdah wa-munaqqaḥah.	الطبعة 2.، مزيدة ومنقحة.	good
a	0	250	5	loc	loc-69831	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	umich	umich-2781	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-63401	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
a	0	250	5	loc	loc-85701	dev	EDITION STATEMENT (R) - Edition statement (NR)	250a	6804	al-Ṭabʻah 1.	الطبعة 1.	good
												5
b	0	245	4	loc	loc-78231	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	dirāsah ʻilmīyah /	دراسة علمية‏ /	good
b	0	245	4	loc	loc-22791	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	dirāsah balāghīyah wa-uslūbīyah /	‏دراسة بلاغية وأسلوبية /‏	good
b	0	245	4	aco	aco-3023	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	al-iqtiṣād rūḥ al-ḥurrīyah wa al-istiqlāl /	الإقتصاد روح الحرية و الإستقلال /	good
b	0	245	4	loc	loc-89011	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	wa-asbābuhā al-ḥaqīqīyah /	وأسبابها الحقيقية /	good
b	0	245	4	loc	loc-2751	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	ʻan al-anhār wa-ḍifāfuhā /	‏عن الانهار وضفافها /‏	good
b	0	245	4	loc	loc-46931	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	taqrīr ʻan al-marḥalah al-tajrībīyah lil-Barnāmaj al-Muwaḥḥad li-Muʻāyanat Inzāl Samak al-Kanʻad fī Miyāh Duwal Majlis al-Taʻāwun li-Duwal al-Khalīj al-ʻArabīyah /	تقرير عن المرحلة التجريبية للبرنامج الموحد لمعاينة إنزال سمك الكنعد في مياه دول مجلس التعاون لدول الخليج العربية /	good
b	0	245	4	umich	umich-1221	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	riwāyah /	رواية /	good
b	0	245	4	loc	loc-35891	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	Injilīzī, Faransī, Turkī, ʻArabī /	‏إنجليزي، فرنسي، تركي، عربي /‏	good
b	0	245	4	loc	loc-63471	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	dirāsāt wa-buḥūth /	دراسات وبحوث /	good
b	0	245	4	loc	loc-3001	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	riwāyah /	‏رواية /‏	good
b	0	245	4	loc	loc-7051	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	ruʼyah mustaqbalīyah : dirāsah taḥlīlīyah fī iṭār al-ʻalāqāt al-siyāsīyah wa-al-iqtiṣādīyah al-dawlīyah /	رؤية مستقبلية : دراسة تحليلية في إطار العلاقات السياسية والإقتصادية الدولية /	good
b	0	245	4	loc	loc-34051	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	al-tanmiyah bayna al- mafhūm wa-al-ālīyāt : qaḍāyā naẓarīyah wa-buḥūth maydānīyah /	التنمية بين المفهوم والآليات : قضايا نظرية وبحوث ميدانية /	good
b	0	245	4	loc	loc-66161	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	majmūʻah qiṣaṣīyah /	‏مجموعة قصصية /‏	good
b	0	245	4	loc	loc-76571	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	min al-fatḥ ilá al-qarn 14 H=20 M, 95/96-1400 H=714-1980 M /	‏من الفتح إلى القرن 14 ھ=20 م، 96/95-1400 ھ=714-1980 م /‏	good
b	0	245	4	loc	loc-54891	dev	TITLE STATEMENT (NR) - Remainder of title (NR)	245b	5142	mukawwināt usṭūrīyah fī al-maʻrifah al-tārīkhīyah al-ʻArabīyah /	‏مكونات أسطورية في المعرفة التاريخية العربية /‏	good
